number,bike_stands,available_bike_stands,available_bikes,last_update,fetched_at
24,20,9,11,2024-03-28 16:44:12,2024-03-28T16:51:11.923533
10,20,10,10,2024-03-28 16:46:28,2024-03-28T16:51:11.923533
9,20,20,0,2024-03-28 16:49:34,2024-03-28T16:51:11.923533
13,20,16,4,2024-03-28 16:48:58,2024-03-28T16:51:11.923533
20,21,1,20,2024-03-28 16:45:39,2024-03-28T16:51:11.923533
4,20,9,11,2024-03-28 16:40:46,2024-03-28T16:51:11.923533
1,22,14,8,2024-03-28 16:50:09,2024-03-28T16:51:11.923533
16,20,9,11,2024-03-28 16:49:11,2024-03-28T16:51:11.923533
3,20,10,10,2024-03-28 16:49:12,2024-03-28T16:51:11.923533
21,20,13,7,2024-03-28 16:49:30,2024-03-28T16:51:11.923533
6,20,10,10,2024-03-28 16:49:55,2024-03-28T16:51:11.923533
22,20,12,8,2024-03-28 16:48:56,2024-03-28T16:51:11.923533
14,20,12,8,2024-03-28 16:47:11,2024-03-28T16:51:11.923533
19,20,13,7,2024-03-28 16:49:26,2024-03-28T16:51:11.923533
25,20,14,6,2024-03-28 16:42:48,2024-03-28T16:51:11.923533
17,20,6,13,2024-03-28 16:50:15,2024-03-28T16:51:11.923533
28,20,9,11,2024-03-28 16:43:43,2024-03-28T16:51:11.923533
8,20,17,3,2024-03-28 16:49:59,2024-03-28T16:51:11.923533
7,20,20,0,2024-03-28 16:48:27,2024-03-28T16:51:11.923533
2,22,14,8,2024-03-28 16:41:58,2024-03-28T16:51:11.923533
5,16,4,12,2024-03-28 16:50:00,2024-03-28T16:51:11.923533
12,20,4,16,2024-03-28 16:49:18,2024-03-28T16:51:11.923533
29,20,12,8,2024-03-28 16:42:41,2024-03-28T16:51:11.923533
15,20,10,10,2024-03-28 16:50:18,2024-03-28T16:51:11.923533
26,20,2,18,2024-03-28 16:47:33,2024-03-28T16:51:11.923533
23,20,12,8,2024-03-28 16:41:44,2024-03-28T16:51:11.923533
27,20,6,14,2024-03-28 16:41:45,2024-03-28T16:51:11.923533
18,20,10,10,2024-03-28 16:49:18,2024-03-28T16:51:11.923533
11,20,20,0,2024-03-28 16:48:54,2024-03-28T16:51:11.923533
24,20,8,12,2024-03-28 17:14:30,2024-03-28T17:16:17.560959
10,20,11,9,2024-03-28 17:13:10,2024-03-28T17:16:17.560959
9,20,20,0,2024-03-28 17:09:44,2024-03-28T17:16:17.560959
13,20,15,5,2024-03-28 17:09:08,2024-03-28T17:16:17.560959
20,21,3,18,2024-03-28 17:13:50,2024-03-28T17:16:17.560959
4,20,12,8,2024-03-28 17:12:14,2024-03-28T17:16:17.560959
1,22,12,10,2024-03-28 17:11:18,2024-03-28T17:16:17.560959
16,20,6,14,2024-03-28 17:11:16,2024-03-28T17:16:17.560959
3,20,11,9,2024-03-28 17:09:26,2024-03-28T17:16:17.560959
21,20,15,5,2024-03-28 17:09:44,2024-03-28T17:16:17.560959
6,20,8,12,2024-03-28 17:13:31,2024-03-28T17:16:17.560959
22,20,12,8,2024-03-28 17:09:06,2024-03-28T17:16:17.560959
14,20,13,7,2024-03-28 17:11:32,2024-03-28T17:16:17.560959
19,20,13,7,2024-03-28 17:09:36,2024-03-28T17:16:17.560959
25,20,12,8,2024-03-28 17:13:03,2024-03-28T17:16:17.560959
17,20,8,11,2024-03-28 17:09:44,2024-03-28T17:16:17.560959
28,20,9,11,2024-03-28 17:13:59,2024-03-28T17:16:17.560959
8,20,19,1,2024-03-28 17:15:06,2024-03-28T17:16:17.560959
7,20,20,0,2024-03-28 17:15:11,2024-03-28T17:16:17.560959
2,22,13,9,2024-03-28 17:12:14,2024-03-28T17:16:17.560959
5,16,5,11,2024-03-28 17:10:13,2024-03-28T17:16:17.560959
12,20,14,6,2024-03-28 17:09:38,2024-03-28T17:16:17.560959
29,20,12,8,2024-03-28 17:12:56,2024-03-28T17:16:17.560959
15,20,9,11,2024-03-28 17:12:27,2024-03-28T17:16:17.560959
26,20,2,18,2024-03-28 17:07:43,2024-03-28T17:16:17.560959
23,20,10,10,2024-03-28 17:12:00,2024-03-28T17:16:17.560959
27,20,11,9,2024-03-28 17:12:07,2024-03-28T17:16:17.560959
18,20,8,12,2024-03-28 17:09:29,2024-03-28T17:16:17.560959
11,20,18,2,2024-03-28 17:15:11,2024-03-28T17:16:17.560959
